timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
147156000,147156000,0.9739137,-0.0048724925,0.008236998,-0.22671713,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
147656000,147656000,0.97393745,-0.0043054414,0.0086034015,-0.22661273,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
148156000,148156000,0.97394055,-0.0035433888,0.008169452,-0.22662894,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
148656000,148656000,0.9717342,0.0114196865,-0.025684705,-0.23439826,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
149156000,149156000,0.9724652,-0.0048168185,0.0036100806,-0.23297039,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
149656000,149656000,0.97303385,-0.008851628,0.007554409,-0.23036852,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
150156000,150156000,0.9732375,-0.00849891,0.008060138,-0.22950281,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
150656000,150656000,0.9734821,-0.006552345,0.0050145662,-0.22861451,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
151156000,151156000,0.97380424,-0.0029930533,0.00114546,-0.22736593,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
151656000,151656000,0.9740073,-0.0015971693,-0.00097263174,-0.22650903,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
152156000,152156000,0.97400945,-0.0014753384,-0.0025398985,-0.22648825,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
152656000,152656000,0.9740703,-0.0015772913,-0.0030901104,-0.22621901,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
153156000,153156000,0.97409725,-0.0022722695,-0.0019785063,-0.22610961,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
153656000,153656000,0.9741178,-0.0028958623,-0.0015317663,-0.2260176,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
154156000,154156000,0.97409743,-0.00308283,-0.0013861036,-0.22610377,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
154656000,154656000,0.9741026,-0.0033670529,-0.0010636942,-0.22607894,0.999999,-1.3969841e-09,8.1490736e-10,-0.001460299,2
155156000,155156000,0.9745677,-0.0027742374,-0.0017587717,-0.22406916,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
155656000,155656000,0.97443587,-0.002754654,-0.001533712,-0.22464424,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
156156000,156156000,0.97426546,-0.0021393253,-0.0011802125,-0.2253904,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
156656000,156656000,0.974256,-0.001994358,-0.0009487215,-0.22543377,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
157156000,157156000,0.9742783,-0.0023684865,-0.0012815268,-0.22533202,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
157656000,157656000,0.9746403,-0.00544241,-0.006928349,-0.22360364,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
158156000,158156000,0.98612213,-0.032962643,-0.12022512,-0.109648086,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
158656000,158656000,0.99480647,-0.04143397,-0.05368877,0.07590001,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
159156000,159156000,0.951921,0.039283514,-0.07108272,0.2953818,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
159656000,159656000,0.86462224,0.042983007,-0.019246588,0.50021034,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
160156000,160156000,0.7493749,0.057596557,-0.0063678613,0.65960544,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
160656000,160656000,0.60527307,0.06136993,-0.002802883,0.79364383,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
161156000,161156000,0.440286,0.051312566,-0.004121403,0.89638066,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
161656000,161656000,0.25680405,0.036304176,-0.0079344455,0.9657488,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
162156000,162156000,0.06313397,0.019196693,-0.010953335,0.9977603,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
162656000,162656000,-0.13249926,0.009336185,-0.012221008,0.9910638,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
163156000,163156000,-0.2619979,0.008137879,-0.012216628,0.9649569,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
163656000,163656000,-0.34118697,0.009601624,-0.011916046,0.9398709,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
164156000,164156000,-0.41409186,0.014042827,-0.010736496,0.91006345,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
164656000,164656000,-0.4815529,0.019455671,-0.007838524,0.8761661,1.0,-9.313227e-10,-1.1641534e-10,-0.00017654897,3
