timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
132136000,132136000,0,nan,nan,0.0003451232,-0.00042782715,0.00072425423,0.0,0.0,0.0,-0.0007430558,-0.002485865,0.0034450453,0.00034413082,-0.0046222447,-0.00042486578,0.0010469928,-0.06549213,0.02409845,-0.010230578,-0.45997062,0.035199404,-0.0005994002,-0.45848045,0.00034160694,nan,0.097949356,0.026236402,0.43151549,0.059642807,0.08302357,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1
132632000,132632000,0,nan,nan,0.00027084522,-0.0020240012,-0.0015508815,0.0,0.0,0.0,-0.0027956425,-0.0027136009,0.0012029558,-0.0021486399,-0.0046222447,-0.00042486578,0.0010469928,-0.023455707,-0.017830767,0.017272307,-0.4624177,0.043881096,-0.00053405616,-0.0029205992,0.00035520445,nan,0.10023852,0.060507588,0.41605178,0.09218751,0.09369668,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
133136000,133136000,0,nan,nan,-0.0015196719,-0.004420734,-0.0028195407,0.0,0.0,0.0,-0.003283416,-0.0035218508,0.0020434498,-0.00087888195,-0.0046222447,-0.00042486578,0.0010469928,0.026649969,0.00054222613,-0.017141921,-0.462176,0.038345784,-0.00052956236,-0.0029205992,0.00037117198,nan,0.100068964,0.113060534,0.4108229,0.13011587,0.10419033,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
133632000,133632000,0,nan,nan,-0.002493315,-0.0059180427,-0.002134316,0.0,0.0,0.0,0.00027000287,-0.0008924052,0.0022189023,0.00082549255,-0.0046222447,-0.00042486578,0.0010469928,-0.0019580328,-0.005975933,0.015656462,-0.46117622,0.036244992,-0.00071555085,-0.0029205992,0.0003887377,nan,0.10033925,0.184407,0.4118029,0.17238666,0.113976635,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
134136000,134136000,0,nan,nan,-0.0023573167,-0.0076780394,-0.00017657968,0.0,0.0,0.0,0.0007833449,-0.0022640922,0.002631704,0.0022953928,-0.0046222447,-0.00042486578,0.0010469928,-0.0061791064,-0.011894684,-0.029706394,-0.46064872,0.035095636,-0.00094491686,-0.0029205992,0.00040859837,nan,0.099809825,0.27925864,0.41636318,0.22037399,0.12297647,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
134632000,134632000,0,nan,nan,-0.0026014883,-0.009833376,-0.0023095498,0.0,0.0,0.0,0.0007548235,-0.002901817,0.00064591976,-0.001688689,-0.0046222447,-0.00042486578,0.0010469928,-0.025141262,-0.008767092,-0.0067176293,-0.4600247,0.03437781,-0.0012643536,-0.0029205992,0.0004299596,nan,0.1019428,0.3968986,0.42850992,0.27248842,0.13109155,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
135136000,135136000,0,nan,nan,-0.0024561065,-0.012534051,-0.0063821007,0.0,0.0,0.0,0.0046981755,-0.002567992,0.00026755518,-0.0042611053,-0.0046222447,-0.00042486578,0.0010469928,0.0045431224,0.024941348,-0.01714844,-0.4598151,0.033893336,-0.0014072041,-0.0029205992,0.00045429624,nan,0.10075107,0.54353243,0.44178978,0.33036116,0.13776578,inf,inf,inf,inf,0,1,0,1,1,1,1,1,2,0,0,0,1,0,1
135632000,135632000,0,nan,nan,-0.0006904842,-0.0145465415,-0.008992134,0.0,0.0,0.0,0.0016367047,0.00041489815,-0.0005503873,-0.0052955304,-0.0071572475,0.0019386406,0.0010469928,-0.017054582,-0.0056604547,0.026557593,-0.45961386,0.03354622,-0.0015121652,-0.0029205992,0.00047831138,nan,0.10065454,14.142137,0.41786933,0.2826167,0.116517715,inf,inf,inf,inf,0,1,0,1,2,1,2,1,2,0,0,0,1,0,1
136136000,136136000,0,nan,nan,-0.00081427424,-0.014111186,-0.007167148,0.0,0.0,0.0,0.007476646,0.0011762945,0.0022974405,0.0008632274,-0.0071572475,0.0019386406,0.0010469928,-0.018435035,0.08110184,0.015353783,-0.45954454,0.033284508,-0.0016241126,-0.0029205992,0.0005002029,nan,0.101506256,0.06344928,0.40535375,0.20933236,0.105944134,inf,inf,inf,inf,0,1,0,1,2,1,2,1,2,0,0,0,1,0,1
136632000,136632000,0,nan,nan,0.00243319,-0.013317102,-0.004980836,0.0,0.0,0.0,0.009060974,0.0016296149,0.004279707,0.0035434854,-0.0071572475,0.0019386406,0.0010469928,0.020563368,0.0038228533,0.01757685,-0.45989424,0.033087626,-0.0018214113,-0.0029205992,0.0005269418,nan,0.0996594,0.17112085,0.4151113,0.24193752,0.111163504,inf,inf,inf,inf,0,1,0,1,2,1,2,1,2,0,0,0,1,0,1
