timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
202464000,202464000,197388,-0.087785594,0.19109854,0.42846158,11.78808,0
203456000,203456000,197388,-0.04537193,0.21099767,0.43671387,11.788324,0
204456000,204456000,197388,0.014460687,0.21692379,0.43228436,11.788416,0
205464000,205464000,197388,0.065926835,0.21230419,0.43761554,11.788477,0
206460000,206460000,197388,0.113572165,0.19048166,0.4297176,11.7885685,0
207456000,207456000,197388,0.16078979,0.15532981,0.43016455,11.78866,0
208464000,208464000,197388,0.19898604,0.11916323,0.43351194,11.788691,0
209460000,209460000,197388,0.22596128,0.06553982,0.42782664,11.788691,0
210456000,210456000,197388,0.23676214,0.020540357,0.42238316,11.788691,0
211464000,211464000,197388,0.23070616,-0.037872557,0.42032856,11.78866,0
212456000,212456000,197388,0.22667873,-0.08774131,0.42206612,11.788599,0
213456000,213456000,197388,0.19551556,-0.13797519,0.4123922,11.788477,0
214464000,214464000,197388,0.15927134,-0.17638752,0.41702312,11.788294,0
215456000,215456000,197388,0.11699212,-0.20963171,0.41278717,11.788141,0
216456000,216456000,197388,0.06292838,-0.23015693,0.42548946,11.787958,0
217464000,217464000,197388,0.014355225,-0.24354412,0.4175607,11.787806,0
218460000,218460000,197388,-0.041682493,-0.2317409,0.42027372,11.787714,0
219456000,219456000,197388,-0.09729932,-0.22094636,0.42426887,11.787714,0
220464000,220464000,197388,-0.13911222,-0.19117989,0.42146453,11.7877445,0
221460000,221460000,197388,-0.17836711,-0.15275878,0.4294004,11.787836,0
222456000,222456000,197388,-0.20562494,-0.103249796,0.42376152,11.787989,0
223464000,223464000,197388,-0.22420712,-0.053294595,0.4236737,11.788202,0
224460000,224460000,197388,-0.21642384,0.004258786,0.4311855,11.788416,0
225456000,225456000,197388,-0.21165748,0.06079025,0.43523735,11.7885685,0
226464000,226464000,197388,-0.1828765,0.11726944,0.43174273,11.788721,0
227456000,227456000,197388,-0.1413736,0.16261035,0.43803757,11.788904,0
228456000,228456000,197388,-0.0854421,0.19156274,0.4311377,11.789118,0
229464000,229464000,197388,-0.038305476,0.20705408,0.4335533,11.789331,0
230456000,230456000,197388,0.014330901,0.21569484,0.4349361,11.789606,0
231456000,231456000,197388,0.07089741,0.1975408,0.43624702,11.789881,0
232464000,232464000,197388,0.12183711,0.18792073,0.43090034,11.790155,0
233456000,233456000,197388,0.17323014,0.14730045,0.4236975,11.790369,0
234456000,234456000,197388,0.20156458,0.0998457,0.4300538,11.790583,0
235464000,235464000,197388,0.21685302,0.0813881,0.4263691,11.790735,0
236460000,236460000,197388,0.24847297,0.16368943,0.38901004,11.790583,0
237456000,237456000,197388,0.23183776,0.14696452,0.39384314,11.78982,0
238464000,238464000,197388,0.13761856,0.11314859,0.4432666,11.789392,0
239460000,239460000,197388,0.17480199,0.13653952,0.43159074,11.793543,0
240456000,240456000,197388,0.1757754,0.13871868,0.4293667,11.797907,0
241464000,241464000,197388,0.191005,0.14864297,0.42474303,11.802454,0
242460000,242460000,197388,0.18495527,0.14365652,0.42698246,11.80694,0
243456000,243456000,197388,0.1815485,0.14443578,0.42609584,11.811335,0
244464000,244464000,197388,0.18218184,0.14028002,0.42147473,11.815882,0
245460000,245460000,197388,0.17658778,0.13843322,0.42113122,11.82052,0
246456000,246456000,197388,0.17951143,0.14651087,0.42755383,11.8250065,0
247464000,247464000,197388,0.17545159,0.13959418,0.43232486,11.827906,0
248460000,248460000,197388,0.16290389,0.13615412,0.42635483,11.827875,0
249456000,249456000,197388,0.16971906,0.14321713,0.4230601,11.827875,0
250464000,250464000,197388,0.16653259,0.13511972,0.43018445,11.827875,0
251460000,251460000,197388,0.16628376,0.13366659,0.43737745,11.827875,0
252456000,252456000,197388,0.16866902,0.14136867,0.4342827,11.827875,0
253464000,253464000,197388,0.17148677,0.13904268,0.42973045,11.827875,0
254456000,254456000,197388,0.17631847,0.13802718,0.43028343,11.827875,0
255456000,255456000,197388,0.17164828,0.1410568,0.4284102,11.827875,0
256464000,256464000,197388,0.1706659,0.14299464,0.43117064,11.827875,0
257460000,257460000,197388,0.16861193,0.1405419,0.42963412,11.827875,0
258456000,258456000,197388,0.17327987,0.14063415,0.42980316,11.827875,0
